"","Event_Index","UTC_Timestamp","UTC_Date","Local_Timestamp","Local_Timezone","Local_Date","Experiment_ID","Experiment_Version","Tree_Node_Key","Repeat_Key","Schedule_ID","Participant_Public_ID","Participant_Private_ID","Participant_Starting_Group","Participant_Status","Participant_Completion_Code","Participant_External_Session_ID","Participant_Device_Type","Participant_Device","Participant_OS","Participant_Browser","Participant_Monitor_Size","Participant_Viewport_Size","Checkpoint","Task_Name","Task_Version","Randomise_questionnaire_elements?","Question_Key","Response","id"
"28","14","1654599463500","07/06/2022 10:57:43","1654599463384","1","07/06/2022 11:57:43","86605","12","questionnaire-9i2z",NA,"22331097","x15hufum","6582674",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","END QUESTIONNAIRE","16145","x15hufum"
"29","1","1654604355662","07/06/2022 12:19:15","1654604355587","1","07/06/2022 13:19:15","86605","12","questionnaire-9i2z",NA,"22334023","wopxcyrw","6583401",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","BEGIN QUESTIONNAIRE",NA,"wopxcyrw"
"30","2","1654604366674","07/06/2022 12:19:26","1654604366606","1","07/06/2022 13:19:26","86605","12","questionnaire-9i2z",NA,"22334023","wopxcyrw","6583401",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_friendly-1","3","wopxcyrw"
"31","3","1654604366713","07/06/2022 12:19:26","1654604366608","1","07/06/2022 13:19:26","86605","12","questionnaire-9i2z",NA,"22334023","wopxcyrw","6583401",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_friendly-1-quantised","3","wopxcyrw"
"32","4","1654604366713","07/06/2022 12:19:26","1654604366608","1","07/06/2022 13:19:26","86605","12","questionnaire-9i2z",NA,"22334023","wopxcyrw","6583401",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_similarity-1","3","wopxcyrw"
"33","5","1654604366713","07/06/2022 12:19:26","1654604366608","1","07/06/2022 13:19:26","86605","12","questionnaire-9i2z",NA,"22334023","wopxcyrw","6583401",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_similarity-1-quantised","3","wopxcyrw"
"34","6","1654604366713","07/06/2022 12:19:26","1654604366608","1","07/06/2022 13:19:26","86605","12","questionnaire-9i2z",NA,"22334023","wopxcyrw","6583401",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_attractiveness-1","4","wopxcyrw"
"35","7","1654604366713","07/06/2022 12:19:26","1654604366608","1","07/06/2022 13:19:26","86605","12","questionnaire-9i2z",NA,"22334023","wopxcyrw","6583401",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_attractiveness-1-quantised","4","wopxcyrw"
"36","8","1654604366713","07/06/2022 12:19:26","1654604366608","1","07/06/2022 13:19:26","86605","12","questionnaire-9i2z",NA,"22334023","wopxcyrw","6583401",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_art_knowledge-1","4","wopxcyrw"
"37","9","1654604366713","07/06/2022 12:19:26","1654604366608","1","07/06/2022 13:19:26","86605","12","questionnaire-9i2z",NA,"22334023","wopxcyrw","6583401",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_art_knowledge-1-quantised","4","wopxcyrw"
"38","10","1654604366713","07/06/2022 12:19:26","1654604366608","1","07/06/2022 13:19:26","86605","12","questionnaire-9i2z",NA,"22334023","wopxcyrw","6583401",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_competent-1","5","wopxcyrw"
"39","11","1654604366713","07/06/2022 12:19:26","1654604366608","1","07/06/2022 13:19:26","86605","12","questionnaire-9i2z",NA,"22334023","wopxcyrw","6583401",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_competent-1-quantised","5","wopxcyrw"
"40","12","1654604366713","07/06/2022 12:19:26","1654604366608","1","07/06/2022 13:19:26","86605","12","questionnaire-9i2z",NA,"22334023","wopxcyrw","6583401",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_rational-1","4","wopxcyrw"
"41","13","1654604366713","07/06/2022 12:19:26","1654604366608","1","07/06/2022 13:19:26","86605","12","questionnaire-9i2z",NA,"22334023","wopxcyrw","6583401",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_rational-1-quantised","4","wopxcyrw"
"42","14","1654604366713","07/06/2022 12:19:26","1654604366608","1","07/06/2022 13:19:26","86605","12","questionnaire-9i2z",NA,"22334023","wopxcyrw","6583401",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","END QUESTIONNAIRE","11021","wopxcyrw"
"43","1","1654609899874","07/06/2022 13:51:39","1654609899754","1","07/06/2022 14:51:39","86605","12","questionnaire-9i2z",NA,"22336791","wyly5896","6584100",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","BEGIN QUESTIONNAIRE",NA,"wyly5896"
"44","2","1654609921943","07/06/2022 13:52:01","1654609921850","1","07/06/2022 14:52:01","86605","12","questionnaire-9i2z",NA,"22336791","wyly5896","6584100",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_friendly-1","5","wyly5896"
"45","3","1654609921993","07/06/2022 13:52:01","1654609921852","1","07/06/2022 14:52:01","86605","12","questionnaire-9i2z",NA,"22336791","wyly5896","6584100",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_friendly-1-quantised","5","wyly5896"
"46","4","1654609921993","07/06/2022 13:52:01","1654609921852","1","07/06/2022 14:52:01","86605","12","questionnaire-9i2z",NA,"22336791","wyly5896","6584100",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_similarity-1","3","wyly5896"
"47","5","1654609921993","07/06/2022 13:52:01","1654609921852","1","07/06/2022 14:52:01","86605","12","questionnaire-9i2z",NA,"22336791","wyly5896","6584100",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_similarity-1-quantised","3","wyly5896"
"48","6","1654609921993","07/06/2022 13:52:01","1654609921852","1","07/06/2022 14:52:01","86605","12","questionnaire-9i2z",NA,"22336791","wyly5896","6584100",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_attractiveness-1","4","wyly5896"
"49","7","1654609921993","07/06/2022 13:52:01","1654609921852","1","07/06/2022 14:52:01","86605","12","questionnaire-9i2z",NA,"22336791","wyly5896","6584100",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_attractiveness-1-quantised","4","wyly5896"
"50","8","1654609921993","07/06/2022 13:52:01","1654609921852","1","07/06/2022 14:52:01","86605","12","questionnaire-9i2z",NA,"22336791","wyly5896","6584100",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_art_knowledge-1","4","wyly5896"
"51","9","1654609921993","07/06/2022 13:52:01","1654609921852","1","07/06/2022 14:52:01","86605","12","questionnaire-9i2z",NA,"22336791","wyly5896","6584100",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_art_knowledge-1-quantised","4","wyly5896"
"52","10","1654609921993","07/06/2022 13:52:01","1654609921852","1","07/06/2022 14:52:01","86605","12","questionnaire-9i2z",NA,"22336791","wyly5896","6584100",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_competent-1","5","wyly5896"
"53","11","1654609921993","07/06/2022 13:52:01","1654609921852","1","07/06/2022 14:52:01","86605","12","questionnaire-9i2z",NA,"22336791","wyly5896","6584100",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_competent-1-quantised","5","wyly5896"
"54","12","1654609921993","07/06/2022 13:52:01","1654609921853","1","07/06/2022 14:52:01","86605","12","questionnaire-9i2z",NA,"22336791","wyly5896","6584100",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_rational-1","4","wyly5896"
"55","13","1654609921993","07/06/2022 13:52:01","1654609921853","1","07/06/2022 14:52:01","86605","12","questionnaire-9i2z",NA,"22336791","wyly5896","6584100",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_rational-1-quantised","4","wyly5896"
"56","14","1654609921993","07/06/2022 13:52:01","1654609921853","1","07/06/2022 14:52:01","86605","12","questionnaire-9i2z",NA,"22336791","wyly5896","6584100",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","END QUESTIONNAIRE","22099","wyly5896"
"57","1","1654620548259","07/06/2022 16:49:08","1654620548045","1","07/06/2022 17:49:08","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","BEGIN QUESTIONNAIRE",NA,"ucjf5it7"
"58","2","1654620562232","07/06/2022 16:49:22","1654620562168","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_friendly-1","5","ucjf5it7"
"59","3","1654620562272","07/06/2022 16:49:22","1654620562169","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_friendly-1-quantised","5","ucjf5it7"
"60","4","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_similarity-1","4","ucjf5it7"
"61","5","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_similarity-1-quantised","4","ucjf5it7"
"62","6","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_attractiveness-1","4","ucjf5it7"
"63","7","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_attractiveness-1-quantised","4","ucjf5it7"
"64","8","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_art_knowledge-1","4","ucjf5it7"
"65","9","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_art_knowledge-1-quantised","4","ucjf5it7"
"66","10","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_competent-1","4","ucjf5it7"
"67","11","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_competent-1-quantised","4","ucjf5it7"
"68","12","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_rational-1","5","ucjf5it7"
"69","13","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_rational-1-quantised","5","ucjf5it7"
"70","14","1654620562272","07/06/2022 16:49:22","1654620562170","1","07/06/2022 17:49:22","86605","12","questionnaire-9i2z",NA,"22343474","ucjf5it7","6586190",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","END QUESTIONNAIRE","14125","ucjf5it7"
"71","1","1654679973741","08/06/2022 09:19:33","1654679973538","1","08/06/2022 10:19:33","86605","12","questionnaire-9i2z",NA,"22353471","u4ckj0xb","6588751",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","BEGIN QUESTIONNAIRE",NA,"u4ckj0xb"
"72","2","1654679988566","08/06/2022 09:19:48","1654679988522","1","08/06/2022 10:19:48","86605","12","questionnaire-9i2z",NA,"22353471","u4ckj0xb","6588751",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_friendly-1","5","u4ckj0xb"
"73","3","1654679988615","08/06/2022 09:19:48","1654679988524","1","08/06/2022 10:19:48","86605","12","questionnaire-9i2z",NA,"22353471","u4ckj0xb","6588751",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_friendly-1-quantised","5","u4ckj0xb"
"74","4","1654679988615","08/06/2022 09:19:48","1654679988524","1","08/06/2022 10:19:48","86605","12","questionnaire-9i2z",NA,"22353471","u4ckj0xb","6588751",NA,"complete",NA,NA,"computer","Desktop or Laptop","Mac OS 10.15.7","Safari 15.4","1680x1050","1680x998",NA,"Rating - warmth and competence 1","3","No","rating_similarity-1","2","u4ckj0xb"
