"","Participant_Public_ID","Task_Name","Screen_Name","Zone_Name","Response","Hint"
"121","x15hufum","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""It’s left this time, I think."""
"122","x15hufum","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""It’s left this time, I think."""
"123","x15hufum","Maze game_Amie&Maria","Left","Continue","Continue","""It’s left this time, I think."""
"125","x15hufum","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose right."""
"126","x15hufum","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose right."""
"127","x15hufum","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right."""
"128","x15hufum","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right."""
"135","wopxcyrw","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose left."""
"136","wopxcyrw","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose left."""
"137","wopxcyrw","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""I'd choose left."""
"138","wopxcyrw","Maze game_Amie&Maria","Left","Continue","Continue","""I'd choose left."""
"140","wopxcyrw","Maze game_Amie&Maria","Help","AnnaButton","Claire","""I'd choose right this time."""
"141","wopxcyrw","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""I'd choose right this time."""
"142","wopxcyrw","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right this time."""
"143","wopxcyrw","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right this time."""
"145","wopxcyrw","Maze game_Amie&Maria","Help","BethButton","Anna","""It’s left this time, I think."""
"146","wopxcyrw","Maze game_Amie&Maria","Anna","Zone2","Continue","""It’s left this time, I think."""
"147","wopxcyrw","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""It’s left this time, I think."""
"148","wopxcyrw","Maze game_Amie&Maria","Right","Zone2","Continue","""It’s left this time, I think."""
"150","wopxcyrw","Maze game_Amie&Maria","Help","AnnaButton","Claire","""I'd choose left."""
"151","wopxcyrw","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""I'd choose left."""
"152","wopxcyrw","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""I'd choose left."""
"153","wopxcyrw","Maze game_Amie&Maria","Left","Continue","Continue","""I'd choose left."""
"155","wopxcyrw","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose right this time."""
"156","wopxcyrw","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose right this time."""
"157","wopxcyrw","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right this time."""
"158","wopxcyrw","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right this time."""
"160","wopxcyrw","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose left this time."""
"161","wopxcyrw","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose left this time."""
"162","wopxcyrw","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""I'd choose left this time."""
"163","wopxcyrw","Maze game_Amie&Maria","Left","Continue","Continue","""I'd choose left this time."""
"165","wopxcyrw","Maze game_Amie&Maria","Help","AnnaButton","Claire","""I'd choose right."""
"166","wopxcyrw","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""I'd choose right."""
"167","wopxcyrw","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right."""
"168","wopxcyrw","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right."""
"170","wopxcyrw","Maze game_Amie&Maria","Help","BethButton","Anna","""It’s right this time, I think."""
"171","wopxcyrw","Maze game_Amie&Maria","Anna","Zone2","Continue","""It’s right this time, I think."""
"172","wopxcyrw","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""It’s right this time, I think."""
"173","wopxcyrw","Maze game_Amie&Maria","Right","Zone2","Continue","""It’s right this time, I think."""
"175","wopxcyrw","Maze game_Amie&Maria","Help","BethButton","Anna","""It’s left this time, I think."""
"176","wopxcyrw","Maze game_Amie&Maria","Anna","Zone2","Continue","""It’s left this time, I think."""
"177","wopxcyrw","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""It’s left this time, I think."""
"178","wopxcyrw","Maze game_Amie&Maria","Left","Continue","Continue","""It’s left this time, I think."""
"180","wopxcyrw","Maze game_Amie&Maria","Help","AnnaButton","Claire","""I'd choose right this time."""
"181","wopxcyrw","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""I'd choose right this time."""
"182","wopxcyrw","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right this time."""
"183","wopxcyrw","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right this time."""
"185","wopxcyrw","Maze game_Amie&Maria","Help","BethButton","Anna","""It’s left this time, I think."""
"186","wopxcyrw","Maze game_Amie&Maria","Anna","Zone2","Continue","""It’s left this time, I think."""
"187","wopxcyrw","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""It’s left this time, I think."""
"188","wopxcyrw","Maze game_Amie&Maria","Left","Continue","Continue","""It’s left this time, I think."""
"190","wopxcyrw","Maze game_Amie&Maria","Help","AnnaButton","Claire","""I'd choose right."""
"191","wopxcyrw","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""I'd choose right."""
"192","wopxcyrw","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right."""
"193","wopxcyrw","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right."""
"200","wyly5896","Maze game_Amie&Maria","Help","AnnaButton","Claire","""I'd choose left."""
"201","wyly5896","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""I'd choose left."""
"202","wyly5896","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""I'd choose left."""
"203","wyly5896","Maze game_Amie&Maria","Left","Continue","Continue","""I'd choose left."""
"205","wyly5896","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose right this time."""
"206","wyly5896","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose right this time."""
"207","wyly5896","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right this time."""
"208","wyly5896","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right this time."""
"210","wyly5896","Maze game_Amie&Maria","Help","BethButton","Anna","""It’s left this time, I think."""
"211","wyly5896","Maze game_Amie&Maria","Anna","Zone2","Continue","""It’s left this time, I think."""
"212","wyly5896","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""It’s left this time, I think."""
"213","wyly5896","Maze game_Amie&Maria","Left","Continue","Continue","""It’s left this time, I think."""
"215","wyly5896","Maze game_Amie&Maria","Help","AnnaButton","Claire","""I'd choose left."""
"216","wyly5896","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""I'd choose left."""
"217","wyly5896","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""I'd choose left."""
"218","wyly5896","Maze game_Amie&Maria","Left","Continue","Continue","""I'd choose left."""
"220","wyly5896","Maze game_Amie&Maria","Help","AnnaButton","Claire","""I'd choose right this time."""
"221","wyly5896","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""I'd choose right this time."""
"222","wyly5896","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right this time."""
"223","wyly5896","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right this time."""
"225","wyly5896","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose left this time."""
"226","wyly5896","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose left this time."""
"227","wyly5896","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""I'd choose left this time."""
"228","wyly5896","Maze game_Amie&Maria","Left","Continue","Continue","""I'd choose left this time."""
"230","wyly5896","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose right."""
"231","wyly5896","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose right."""
"232","wyly5896","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right."""
"233","wyly5896","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right."""
"235","wyly5896","Maze game_Amie&Maria","Help","AnnaButton","Claire","""It’s right this time, I think."""
"236","wyly5896","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""It’s right this time, I think."""
"237","wyly5896","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""It’s right this time, I think."""
"238","wyly5896","Maze game_Amie&Maria","Right","Zone2","Continue","""It’s right this time, I think."""
"240","wyly5896","Maze game_Amie&Maria","Help","AnnaButton","Claire","""It’s left this time, I think."""
"241","wyly5896","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""It’s left this time, I think."""
"242","wyly5896","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""It’s left this time, I think."""
"243","wyly5896","Maze game_Amie&Maria","Left","Continue","Continue","""It’s left this time, I think."""
"245","wyly5896","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose right this time."""
"246","wyly5896","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose right this time."""
"247","wyly5896","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right this time."""
"248","wyly5896","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right this time."""
"250","wyly5896","Maze game_Amie&Maria","Help","BethButton","Anna","""It’s left this time, I think."""
"251","wyly5896","Maze game_Amie&Maria","Anna","Zone2","Continue","""It’s left this time, I think."""
"252","wyly5896","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""It’s left this time, I think."""
"253","wyly5896","Maze game_Amie&Maria","Left","Continue","Continue","""It’s left this time, I think."""
"255","wyly5896","Maze game_Amie&Maria","Help","AnnaButton","Claire","""I'd choose right."""
"256","wyly5896","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""I'd choose right."""
"257","wyly5896","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right."""
"258","wyly5896","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right."""
"265","ucjf5it7","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose left."""
"266","ucjf5it7","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose left."""
"267","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""I'd choose left."""
"268","ucjf5it7","Maze game_Amie&Maria","Left","Continue","Continue","""I'd choose left."""
"270","ucjf5it7","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose right this time."""
"271","ucjf5it7","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose right this time."""
"272","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right this time."""
"273","ucjf5it7","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right this time."""
"275","ucjf5it7","Maze game_Amie&Maria","Help","BethButton","Anna","""It’s left this time, I think."""
"276","ucjf5it7","Maze game_Amie&Maria","Anna","Zone2","Continue","""It’s left this time, I think."""
"277","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""It’s left this time, I think."""
"278","ucjf5it7","Maze game_Amie&Maria","Left","Continue","Continue","""It’s left this time, I think."""
"280","ucjf5it7","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose left."""
"281","ucjf5it7","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose left."""
"282","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""I'd choose left."""
"283","ucjf5it7","Maze game_Amie&Maria","Left","Continue","Continue","""I'd choose left."""
"285","ucjf5it7","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose right this time."""
"286","ucjf5it7","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose right this time."""
"287","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right this time."""
"288","ucjf5it7","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right this time."""
"290","ucjf5it7","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose left this time."""
"291","ucjf5it7","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose left this time."""
"292","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose left this time."""
"293","ucjf5it7","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose left this time."""
"295","ucjf5it7","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose right."""
"296","ucjf5it7","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose right."""
"297","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right."""
"298","ucjf5it7","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right."""
"300","ucjf5it7","Maze game_Amie&Maria","Help","BethButton","Anna","""It’s right this time, I think."""
"301","ucjf5it7","Maze game_Amie&Maria","Anna","Zone2","Continue","""It’s right this time, I think."""
"302","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""It’s right this time, I think."""
"303","ucjf5it7","Maze game_Amie&Maria","Left","Continue","Continue","""It’s right this time, I think."""
"305","ucjf5it7","Maze game_Amie&Maria","Help","BethButton","Anna","""It’s left this time, I think."""
"306","ucjf5it7","Maze game_Amie&Maria","Anna","Zone2","Continue","""It’s left this time, I think."""
"307","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""It’s left this time, I think."""
"308","ucjf5it7","Maze game_Amie&Maria","Right","Zone2","Continue","""It’s left this time, I think."""
"310","ucjf5it7","Maze game_Amie&Maria","Help","AnnaButton","Claire","""I'd choose right this time."""
"311","ucjf5it7","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""I'd choose right this time."""
"312","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right this time."""
"313","ucjf5it7","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right this time."""
"315","ucjf5it7","Maze game_Amie&Maria","Help","AnnaButton","Claire","""It’s left this time, I think."""
"316","ucjf5it7","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""It’s left this time, I think."""
"317","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""It’s left this time, I think."""
"318","ucjf5it7","Maze game_Amie&Maria","Right","Zone2","Continue","""It’s left this time, I think."""
"320","ucjf5it7","Maze game_Amie&Maria","Help","AnnaButton","Claire","""I'd choose right."""
"321","ucjf5it7","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""I'd choose right."""
"322","ucjf5it7","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right."""
"323","ucjf5it7","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right."""
"330","u4ckj0xb","Maze game_Amie&Maria","Help","AnnaButton","Claire","""I'd choose left."""
"331","u4ckj0xb","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""I'd choose left."""
"332","u4ckj0xb","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""I'd choose left."""
"333","u4ckj0xb","Maze game_Amie&Maria","Left","Continue","Continue","""I'd choose left."""
"335","u4ckj0xb","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose right this time."""
"336","u4ckj0xb","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose right this time."""
"337","u4ckj0xb","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right this time."""
"338","u4ckj0xb","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right this time."""
"340","u4ckj0xb","Maze game_Amie&Maria","Help","BethButton","Anna","""It’s left this time, I think."""
"341","u4ckj0xb","Maze game_Amie&Maria","Anna","Zone2","Continue","""It’s left this time, I think."""
"342","u4ckj0xb","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""It’s left this time, I think."""
"343","u4ckj0xb","Maze game_Amie&Maria","Left","Continue","Continue","""It’s left this time, I think."""
"345","u4ckj0xb","Maze game_Amie&Maria","Help","AnnaButton","Claire","""I'd choose left."""
"346","u4ckj0xb","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""I'd choose left."""
"347","u4ckj0xb","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""I'd choose left."""
"348","u4ckj0xb","Maze game_Amie&Maria","Left","Continue","Continue","""I'd choose left."""
"350","u4ckj0xb","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose right this time."""
"351","u4ckj0xb","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose right this time."""
"352","u4ckj0xb","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right this time."""
"353","u4ckj0xb","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right this time."""
"355","u4ckj0xb","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose left this time."""
"356","u4ckj0xb","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose left this time."""
"357","u4ckj0xb","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""I'd choose left this time."""
"358","u4ckj0xb","Maze game_Amie&Maria","Left","Continue","Continue","""I'd choose left this time."""
"360","u4ckj0xb","Maze game_Amie&Maria","Help","BethButton","Anna","""I'd choose right."""
"361","u4ckj0xb","Maze game_Amie&Maria","Anna","Zone2","Continue","""I'd choose right."""
"362","u4ckj0xb","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""I'd choose right."""
"363","u4ckj0xb","Maze game_Amie&Maria","Right","Zone2","Continue","""I'd choose right."""
"365","u4ckj0xb","Maze game_Amie&Maria","Help","BethButton","Anna","""It’s right this time, I think."""
"366","u4ckj0xb","Maze game_Amie&Maria","Anna","Zone2","Continue","""It’s right this time, I think."""
"367","u4ckj0xb","Maze game_Amie&Maria","ChooseDoor","RightButton","Right","""It’s right this time, I think."""
"368","u4ckj0xb","Maze game_Amie&Maria","Right","Zone2","Continue","""It’s right this time, I think."""
"370","u4ckj0xb","Maze game_Amie&Maria","Help","AnnaButton","Claire","""It’s left this time, I think."""
"371","u4ckj0xb","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""It’s left this time, I think."""
"372","u4ckj0xb","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""It’s left this time, I think."""
"373","u4ckj0xb","Maze game_Amie&Maria","Left","Continue","Continue","""It’s left this time, I think."""
"375","u4ckj0xb","Maze game_Amie&Maria","Help","AnnaButton","Claire","""I'd choose right this time."""
"376","u4ckj0xb","Maze game_Amie&Maria","Claire","AdvanceAnna","Continue","""I'd choose right this time."""
"377","u4ckj0xb","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""I'd choose right this time."""
"378","u4ckj0xb","Maze game_Amie&Maria","Left","Continue","Continue","""I'd choose right this time."""
"380","u4ckj0xb","Maze game_Amie&Maria","Help","BethButton","Anna","""It’s left this time, I think."""
"381","u4ckj0xb","Maze game_Amie&Maria","Anna","Zone2","Continue","""It’s left this time, I think."""
"382","u4ckj0xb","Maze game_Amie&Maria","ChooseDoor","LeftButton","Left","""It’s left this time, I think."""
"383","u4ckj0xb","Maze game_Amie&Maria","Left","Continue","Continue","""It’s left this time, I think."""
